"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1400000US11001002900","Census Tract 29; District of Columbia; District of Columbia","1672","151","4.7","3.5","0.7","1.0","2.9","3.0","1.6","1.8","1.1","1.2","7.1","4.2","7.3","3.1","17.0","5.8","12.1","4.8","45.5","8.0","179444","30816","224303","33989","35.9","(X)","(X)","(X)","(X)","(X)","845","166","7.7","6.6","0.0","5.2","3.3","5.3","2.0","3.1","0.0","5.2","5.4","5.8","0.6","1.1","4.7","5.2","15.9","9.6","60.4","11.6","224152","35735","280926","54774","(X)","(X)","37.3","(X)","(X)","(X)","569","155","0.0","7.6","0.0","7.6","0.0","7.6","0.0","7.6","0.0","7.6","3.5","4.5","0.9","1.7","6.3","7.4","8.6","6.4","80.7","9.9","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","827","115","8.2","6.8","1.3","1.9","2.5","2.6","1.1","1.8","2.2","2.4","4.4","3.2","14.1","6.0","27.4","9.5","14.0","7.3","24.7","8.7","117850","23911","149475","20284","(X)","(X)","(X)","(X)","30.2","(X)",
"1400000US11001003000","Census Tract 30; District of Columbia; District of Columbia","1656","205","16.4","10.6","4.8","3.2","1.7","2.2","1.4","1.7","4.9","2.9","11.7","7.7","8.0","3.6","18.3","7.4","10.3","5.2","22.5","6.0","102600","22031","150254","26074","38.6","(X)","(X)","(X)","(X)","(X)","800","214","16.1","17.2","1.8","2.7","2.0","3.9","2.9","3.6","7.6","5.2","19.1","14.0","7.1","6.1","6.4","6.9","11.4","8.4","25.6","10.4","80769","58069","161894","51004","(X)","(X)","49.8","(X)","(X)","(X)","350","87","0.0","12.0","0.0","12.0","0.0","12.0","0.0","12.0","8.3","8.3","7.1","11.0","8.3","9.1","14.6","15.2","5.1","5.8","56.6","16.9","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","856","158","16.7","11.5","7.6","5.5","1.4","2.1","1.9","2.9","2.0","2.2","4.7","3.5","7.5","4.1","29.4","10.8","9.3","7.2","19.5","6.7","115568","21712","138570","27329","(X)","(X)","(X)","(X)","28.3","(X)",
"1400000US11001003100","Census Tract 31; District of Columbia; District of Columbia","1807","281","3.0","3.3","1.5","2.6","0.0","2.5","4.0","5.2","7.2","5.4","8.9","5.6","11.3","8.2","14.2","4.7","26.2","9.3","23.6","8.2","144327","22123","154688","19723","24.0","(X)","(X)","(X)","(X)","(X)","527","156","2.1","3.5","0.0","8.2","0.0","8.2","0.0","8.2","7.4","9.5","7.6","10.9","9.1","10.2","2.8","5.4","33.0","18.1","38.0","12.8","159408","49662","209030","37724","(X)","(X)","38.0","(X)","(X)","(X)","308","116","0.0","13.6","0.0","13.6","0.0","13.6","0.0","13.6","0.0","13.6","0.0","13.6","7.1","10.8","4.9","8.3","33.1","19.6","54.9","16.0","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1280","322","3.4","4.4","2.2","3.7","0.0","3.5","5.6","7.5","7.2","6.5","9.4","6.7","12.3","11.0","19.0","6.8","24.7","12.1","16.3","10.2","130222","28871","129943","16249","(X)","(X)","(X)","(X)","18.2","(X)",
"1400000US11001003200","Census Tract 32; District of Columbia; District of Columbia","1620","220","3.0","2.7","3.8","3.9","10.6","10.8","2.9","3.1","6.7","4.6","8.7","5.4","7.1","4.5","17.5","5.8","11.8","5.2","27.8","7.9","120227","38981","153240","30391","31.7","(X)","(X)","(X)","(X)","(X)","854","222","3.5","3.8","1.8","2.7","15.1","19.0","0.0","5.1","1.5","3.0","9.4","7.6","2.7","3.3","22.7","10.9","11.9","6.4","31.4","11.0","125972","43271","163469","38530","(X)","(X)","39.6","(X)","(X)","(X)","507","112","0.0","8.5","0.0","8.5","0.0","8.5","0.0","8.5","2.6","4.8","13.6","11.4","1.2","1.8","14.4","9.4","15.4","8.8","52.9","15.9","233125","103314","N","N","(X)","(X)","(X)","(X)","(X)","(X)","766","176","2.3","3.6","6.1","7.5","5.6","4.9","6.1","7.0","12.5","8.2","8.0","6.8","12.0","8.9","15.3","7.7","11.2","6.9","20.8","12.6","93883","27342","131721","41918","(X)","(X)","(X)","(X)","22.1","(X)",
"1400000US11001003301","Census Tract 33.01; District of Columbia; District of Columbia","1815","308","2.6","3.4","1.0","1.2","0.7","0.8","0.0","2.4","2.5","2.2","0.0","2.4","12.8","11.9","16.1","5.8","15.6","5.9","48.7","11.8","198299","30263","215230","27062","15.2","(X)","(X)","(X)","(X)","(X)","743","202","0.0","5.9","1.5","2.3","0.8","1.4","0.0","5.9","0.0","5.9","0.0","5.9","0.0","5.9","22.5","10.7","9.3","9.5","65.9","15.4","225054","27000","249780","30237","(X)","(X)","11.3","(X)","(X)","(X)","638","199","0.0","6.8","1.7","2.7","0.9","1.6","0.0","6.8","0.0","6.8","0.0","6.8","0.0","6.8","16.5","12.0","5.2","5.2","75.7","13.3","238250","31392","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1072","262","4.5","5.7","0.7","1.2","0.7","1.0","0.0","4.1","4.2","3.7","0.0","4.1","21.6","18.7","13.9","7.4","17.7","8.6","36.7","13.2","160700","48561","177830","31339","(X)","(X)","(X)","(X)","17.2","(X)",
"1400000US11001003302","Census Tract 33.02; District of Columbia; District of Columbia","968","90","7.6","7.2","2.3","3.5","1.8","2.0","1.7","2.5","1.7","2.0","5.8","5.1","3.6","2.8","14.2","6.7","14.7","4.8","46.8","9.4","177262","45586","198603","24551","23.8","(X)","(X)","(X)","(X)","(X)","460","96","0.0","9.3","0.0","9.3","2.2","3.8","0.0","9.3","0.0","9.3","1.7","2.5","2.4","2.7","13.7","10.6","11.1","6.6","68.9","11.8","250,000+","***","264886","31259","(X)","(X)","28.3","(X)","(X)","(X)","375","81","0.0","11.3","0.0","11.3","0.0","11.3","0.0","11.3","0.0","11.3","0.0","11.3","2.9","3.3","14.9","12.3","10.9","7.0","71.2","13.2","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","508","101","14.6","13.2","4.3","6.8","1.4","2.2","3.1","4.8","3.1","3.7","11.0","9.4","4.7","4.6","14.0","7.0","17.9","8.6","25.8","12.3","133438","59177","133890","29037","(X)","(X)","(X)","(X)","16.9","(X)",
"1400000US11001003400","Census Tract 34; District of Columbia; District of Columbia","1143","182","2.8","4.3","8.7","7.4","2.9","3.3","7.9","6.8","14.3","11.0","6.2","4.5","2.0","2.2","12.2","5.6","7.6","4.5","35.4","11.0","110324","46204","176998","43868","42.6","(X)","(X)","(X)","(X)","(X)","270","81","0.0","15.3","13.7","11.1","4.4","7.1","9.6","13.6","0.0","15.3","0.0","15.3","0.0","15.3","0.0","15.3","13.0","12.5","59.3","16.4","225250","28477","208705","46587","(X)","(X)","37.8","(X)","(X)","(X)","201","68","0.0","19.9","6.0","8.6","0.0","19.9","12.9","17.8","0.0","19.9","0.0","19.9","0.0","19.9","0.0","19.9","7.0","11.4","74.1","19.3","231518","33973","N","N","(X)","(X)","(X)","(X)","(X)","(X)","873","195","3.7","5.6","7.1","9.0","3.8","4.4","7.3","7.6","18.8","13.9","6.8","4.9","2.6","3.0","15.9","7.8","6.0","4.8","28.1","12.8","99896","65754","165152","55605","(X)","(X)","(X)","(X)","44.1","(X)",
"1400000US11001003500","Census Tract 35; District of Columbia; District of Columbia","1708","198","8.4","4.7","1.5","1.6","0.0","2.6","8.3","6.4","11.5","7.8","9.4","4.5","14.2","6.9","15.5","6.1","9.0","4.5","22.4","5.9","90119","16407","146216","25817","30.6","(X)","(X)","(X)","(X)","(X)","361","144","4.4","7.2","0.0","11.7","0.0","11.7","11.9","16.0","21.6","22.2","0.0","11.7","12.7","12.6","2.5","3.8","12.5","11.7","34.3","14.8","-","**","181944","66635","(X)","(X)","44.0","(X)","(X)","(X)","259","86","0.0","15.9","0.0","15.9","0.0","15.9","9.7","14.9","3.9","6.8","0.0","15.9","17.8","16.3","3.5","5.2","17.4","14.7","47.9","16.0","184083","56373","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1347","171","9.4","5.8","1.9","2.0","0.0","3.3","7.3","5.9","8.8","8.1","11.9","5.6","14.6","7.6","18.9","7.6","9.1","4.9","18.1","6.3","90417","15043","134910","27343","(X)","(X)","(X)","(X)","27.0","(X)",
"1400000US11001003600","Census Tract 36; District of Columbia; District of Columbia","2152","277","7.3","4.8","5.4","3.7","2.7","4.2","1.0","1.7","0.9","1.6","11.1","4.5","2.6","2.0","28.7","10.8","14.3","6.9","26.0","8.3","135407","15297","176747","32806","31.7","(X)","(X)","(X)","(X)","(X)","551","182","0.0","7.8","9.4","11.5","0.0","7.8","0.0","7.8","0.0","7.8","8.0","6.3","3.1","5.1","24.0","13.9","13.1","11.9","42.5","17.9","161250","92305","265696","90084","(X)","(X)","26.5","(X)","(X)","(X)","359","163","0.0","11.8","0.0","11.8","0.0","11.8","0.0","11.8","0.0","11.8","0.0","11.8","0.0","11.8","14.8","13.6","20.1","18.6","65.2","21.6","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1601","267","9.8","6.3","4.0","3.7","3.7","5.6","1.3","2.3","1.2","2.1","12.2","5.9","2.4","2.4","30.4","13.1","14.7","8.2","20.3","8.1","122930","29320","142960","21076","(X)","(X)","(X)","(X)","33.5","(X)",
"1400000US11001003701","Census Tract 37.01; District of Columbia; District of Columbia","1296","126","1.1","1.8","0.0","3.4","2.3","1.9","7.3","4.8","7.2","6.1","18.3","6.5","14.4","7.9","10.2","5.8","12.3","6.8","26.9","8.7","98056","38648","161327","29113","18.1","(X)","(X)","(X)","(X)","(X)","366","111","0.0","11.6","0.0","11.6","3.6","5.3","13.9","9.2","6.3","12.9","10.7","11.7","19.1","19.3","0.0","11.6","6.8","7.5","39.6","22.8","-","**","224061","86519","(X)","(X)","35.5","(X)","(X)","(X)","212","80","0.0","19.0","0.0","19.0","6.1","9.1","4.2","7.6","0.0","19.0","9.4","13.5","0.0","19.0","0.0","19.0","11.8","11.7","68.4","17.5","216990","66835","N","N","(X)","(X)","(X)","(X)","(X)","(X)","930","137","1.5","2.5","0.0","4.7","1.8","1.5","4.7","5.3","7.5","7.1","21.3","8.4","12.5","7.7","14.2","8.1","14.5","8.4","21.9","9.5","100500","35688","136638","24006","(X)","(X)","(X)","(X)","11.3","(X)",
"1400000US11001003702","Census Tract 37.02; District of Columbia; District of Columbia","1478","271","12.9","6.2","2.6","3.3","8.1","6.4","4.4","4.8","15.0","13.9","9.3","6.1","13.1","6.4","7.9","5.0","8.5","4.6","18.1","8.3","67424","25966","104162","23674","29.2","(X)","(X)","(X)","(X)","(X)","453","260","23.2","18.5","3.8","8.1","0.0","9.4","10.8","16.3","41.3","33.5","3.3","6.3","0.0","9.4","0.0","9.4","6.8","8.2","10.8","9.1","35901","3865","64047","23669","(X)","(X)","60.7","(X)","(X)","(X)","104","75","37.5","44.1","0.0","33.5","0.0","33.5","0.0","33.5","0.0","33.5","0.0","33.5","0.0","33.5","0.0","33.5","29.8","34.8","32.7","30.6","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1025","183","8.4","6.9","2.1","3.4","11.6","8.9","1.6","2.4","3.4","4.0","12.0","7.7","18.8","8.6","11.4","6.7","9.3","5.6","21.4","10.5","86457","6764","121891","27034","(X)","(X)","(X)","(X)","15.2","(X)",
"1400000US11001003801","Census Tract 38.01; District of Columbia; District of Columbia","990","132","7.4","5.8","0.0","4.4","0.0","4.4","2.1","2.9","6.0","7.0","13.3","6.5","16.7","8.5","21.3","10.2","9.7","5.6","23.5","8.8","112328","17471","166973","43617","6.2","(X)","(X)","(X)","(X)","(X)","290","90","0.0","14.3","0.0","14.3","0.0","14.3","0.0","14.3","0.0","14.3","15.5","14.1","0.0","14.3","13.8","11.3","4.8","7.8","65.9","16.3","248700","31080","331111","103456","(X)","(X)","14.5","(X)","(X)","(X)","262","95","0.0","15.7","0.0","15.7","0.0","15.7","0.0","15.7","0.0","15.7","17.2","14.6","0.0","15.7","15.3","13.1","5.3","9.2","62.2","17.5","239737","31219","N","N","(X)","(X)","(X)","(X)","(X)","(X)","700","137","10.4","8.4","0.0","6.2","0.0","6.2","3.0","4.0","8.4","9.7","12.4","8.1","23.6","12.1","24.4","13.0","11.7","7.5","6.0","5.0","89381","14385","98641","13682","(X)","(X)","(X)","(X)","2.7","(X)",
"1400000US11001003802","Census Tract 38.02; District of Columbia; District of Columbia","2029","223","6.0","4.4","0.0","2.2","4.7","3.6","3.6","4.6","4.4","3.9","11.3","6.8","8.9","5.6","15.0","6.4","15.9","7.2","30.2","7.6","137981","27746","183463","37398","25.7","(X)","(X)","(X)","(X)","(X)","585","198","0.0","7.4","0.0","7.4","2.6","3.9","3.1","5.4","6.7","7.8","4.4","5.2","3.9","4.5","2.2","3.6","14.0","10.8","63.1","14.0","250,000+","***","318721","93500","(X)","(X)","38.8","(X)","(X)","(X)","517","190","0.0","8.3","0.0","8.3","2.9","4.5","0.0","8.3","0.0","8.3","5.0","5.9","2.3","3.5","2.5","4.0","15.9","12.0","71.4","13.9","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1444","188","8.4","6.1","0.0","3.1","5.5","4.7","3.8","6.1","4.5","4.7","13.2","9.3","10.9","7.6","20.2","8.7","16.7","8.4","16.9","8.7","116932","35561","128535","23546","(X)","(X)","(X)","(X)","20.4","(X)",
"1400000US11001003901","Census Tract 39.01; District of Columbia; District of Columbia","1743","503","1.7","2.6","2.6","2.9","1.9","2.3","2.8","2.5","6.3","4.7","8.7","6.8","15.0","8.2","18.7","9.3","31.0","21.9","11.5","6.2","135773","46474","146627","23813","17.4","(X)","(X)","(X)","(X)","(X)","354","131","0.0","11.9","0.0","11.9","0.0","11.9","0.0","11.9","0.0","11.9","15.0","19.8","0.3","0.9","20.6","19.8","32.2","19.7","31.9","20.5","175000","44355","190114","36850","(X)","(X)","35.3","(X)","(X)","(X)","301","136","0.0","13.9","0.0","13.9","0.0","13.9","0.0","13.9","0.0","13.9","0.0","13.9","0.3","1.1","24.3","21.2","37.9","23.2","37.5","23.4","187132","49465","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1389","501","2.1","3.3","3.2","3.7","2.4","2.9","3.5","3.2","7.9","6.2","7.1","6.5","18.7","11.0","18.2","11.5","30.7","27.2","6.3","4.6","114740","52606","135544","29810","(X)","(X)","(X)","(X)","12.8","(X)",
"1400000US11001003902","Census Tract 39.02; District of Columbia; District of Columbia","953","165","0.0","4.6","0.0","4.6","5.8","7.6","2.1","2.6","2.5","4.0","5.5","4.1","28.0","10.7","20.7","9.8","18.3","7.6","17.2","9.1","111311","15768","191866","74666","18.6","(X)","(X)","(X)","(X)","(X)","323","99","0.0","13.0","0.0","13.0","0.0","13.0","0.0","13.0","0.0","13.0","3.4","5.0","24.1","8.2","6.5","10.6","29.4","15.9","36.5","18.8","178042","12398","355369","158799","(X)","(X)","22.0","(X)","(X)","(X)","215","92","0.0","18.8","0.0","18.8","0.0","18.8","0.0","18.8","0.0","18.8","5.1","7.6","0.0","18.8","9.8","16.1","44.2","24.4","40.9","24.9","187708","49938","N","N","(X)","(X)","(X)","(X)","(X)","(X)","630","164","0.0","6.9","0.0","6.9","8.7","11.3","3.2","3.9","3.8","6.0","6.5","6.3","30.0","14.6","27.9","13.3","12.5","8.8","7.3","4.8","96371","22857","105028","14992","(X)","(X)","(X)","(X)","16.8","(X)",
"1400000US11001004001","Census Tract 40.01; District of Columbia; District of Columbia","2439","438","0.5","0.7","0.6","0.9","0.4","0.6","2.4","2.9","0.7","1.1","14.0","8.1","9.3","3.5","16.9","7.8","22.9","11.3","32.4","8.5","166131","28264","223477","50516","34.3","(X)","(X)","(X)","(X)","(X)","562","135","3.9","6.7","0.0","7.7","0.0","7.7","0.0","7.7","0.0","7.7","0.0","7.7","9.6","9.4","11.9","11.1","11.2","10.3","63.3","14.3","250,000+","***","431637","187598","(X)","(X)","23.8","(X)","(X)","(X)","469","140","4.7","7.8","0.0","9.1","0.0","9.1","0.0","9.1","0.0","9.1","0.0","9.1","0.0","9.1","11.7","13.0","13.4","12.3","70.1","15.4","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1877","433","0.6","1.0","0.7","1.2","0.5","0.8","3.1","3.8","0.9","1.5","18.2","10.3","10.3","4.3","17.2","9.3","25.3","13.9","23.1","8.5","138495","49814","158915","21699","(X)","(X)","(X)","(X)","37.5","(X)",
"1400000US11001004002","Census Tract 40.02; District of Columbia; District of Columbia","2016","394","3.4","2.2","0.7","1.1","2.9","3.9","0.6","0.9","2.7","2.1","5.3","3.2","7.5","4.2","19.9","6.4","17.8","6.1","39.1","11.5","170216","34250","204699","32466","16.4","(X)","(X)","(X)","(X)","(X)","490","204","0.0","8.8","0.0","8.8","0.0","8.8","0.0","8.8","0.0","8.8","0.0","8.8","0.0","8.8","9.8","9.9","20.4","13.4","69.8","16.6","250,000+","***","305200","51357","(X)","(X)","13.1","(X)","(X)","(X)","430","199","0.0","9.9","0.0","9.9","0.0","9.9","0.0","9.9","0.0","9.9","0.0","9.9","0.0","9.9","8.8","10.7","18.1","13.5","73.0","17.2","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1526","390","4.5","3.0","0.9","1.5","3.9","5.1","0.9","1.2","3.5","2.7","7.0","4.3","10.0","5.6","23.1","8.3","17.0","7.1","29.2","14.6","133750","31325","172428","40104","(X)","(X)","(X)","(X)","17.5","(X)",
